Sida,Klick,Exponeringar,CTR,position
https://seb.se/,742190,4017472,18.47%,23.95
https://seb.se/privat/verktyg-for-din-ekonomi/internetbanken-privat,287805,2161251,13.32%,2.08
https://seb.se/privat,74460,556232,13.39%,1.68
https://seb.se/bors-och-finans/valutor/valutaomraknare,43394,1038017,4.18%,5.46
https://seb.se/privat/lana/bolan-och-rantor/lanelofte-och-guide/hur-mycket-far-jag-lana,39486,576697,6.85%,9.42
https://seb.se/om-seb/kontakta-oss,29710,1929557,1.54%,1.49
https://seb.se/foretag,26552,1805903,1.47%,1.28
https://seb.se/privat/betala/betala-rakningar/overforingar-och-bryttider,22771,194721,11.69%,9.37
https://seb.se/var-kundservice/1238/vad-har-jag-for-clearingnummer/,22743,86509,26.29%,5.83
https://seb.se/bors-och-finans/valutor/valutakurser-avistakurser,20988,314554,6.67%,14.51
https://seb.se/bors-och-finans/fonder/fondkurslista,16308,102593,15.9%,10.82
https://seb.se/privat/verktyg-for-din-ekonomi/mobilt-bankid,15067,413638,3.64%,6
https://seb.se/privat/lana/bolan-och-rantor,14553,215891,6.74%,7.87
https://seb.se/var-kundservice/contact,14003,1460323,0.96%,1.71
https://seb.se/media/sa-mycket-far-svenska-barn-i-veckopeng,12039,64208,18.75%,4.48
https://seb.se/pow/apps/Valutaraknare/default.aspx,11766,288295,4.08%,12.1
https://seb.se/privat/betala/betala-till-utlandet/iban-nummer-och-bic,11524,128304,8.98%,7.62
https://seb.se/privat/lana/bolan-och-rantor/bolanerantor,11299,229760,4.92%,9.46
https://seb.se/om-seb/lediga-tjanster,10115,52017,19.45%,17.45
https://seb.se/privat/betala/kort-for-privatpersoner/uttagsgranser-for-kort,9759,92312,10.57%,6.59
https://seb.se/privat/betala/kort-for-privatpersoner/seb-credit,9425,264007,3.57%,7.89
https://seb.se/privat/verktyg-for-din-ekonomi/mobilt-bankid/fragor-och-svar-om-mobilt-bankid,8914,205405,4.34%,6.44
https://seb.se/privat/betala/kort-for-privatpersoner,8618,127592,6.75%,14.02
https://seb.se/privat/pension-och-forsakring,8253,86866,9.5%,12.37
https://seb.se/privat/lonespecifikation,7736,72614,10.65%,5.39
https://seb.se/privat/betala/barn-och-ungdomserbjudanden,7683,68165,11.27%,8.18
https://seb.se/hitta-bankkontor,7422,237920,3.12%,14.33
https://seb.se/privat/lana/privatlan-och-krediter/privatlan-enkla-lanet,7355,305368,2.41%,24.32
https://seb.se/privat/private-banking,7123,318922,2.23%,2.15
