Webbadress,Svarskod,Fel i Google Nyheter,Upptäcktes,Kategori,Plattform,Genomsöktes senast
https://seb.se/foretag/bli-foretagskund/starta-eget/starta-eget-guide,404,,2018-10-05,Hittades inte,Desktop,2018-10-30
https://seb.se/pow/fonder/Kurser/txtfil_hist/19990128.txt,404,,2018-04-02,Hittades inte,Desktop,2018-10-26
https://seb.se/pow/fonder/Kurser/txtfil_hist/19990115.txt,404,,2018-04-02,Hittades inte,Desktop,2018-10-26
https://seb.se/pow/fonder/Kurser/txtfil_hist/19990129.txt,404,,2018-04-02,Hittades inte,Desktop,2018-10-26
https://seb.se/pow/fonder/Kurser/txtfil_hist/19990121.txt,404,,2018-04-02,Hittades inte,Desktop,2018-10-26
https://seb.se/pow/fonder/Kurser/txtfil_hist/19990105.txt,404,,2018-04-02,Hittades inte,Desktop,2018-10-26
https://seb.se/pow/fonder/Kurser/txtfil_hist/19990119.txt,404,,2018-04-02,Hittades inte,Desktop,2018-10-26
https://seb.se/privat/ekonomikollen/bostad-och-bolan/ska-du-kopa-eller-salja-bostaden-forst,410,,2018-07-15,Hittades inte,Desktop,2018-10-19
https://seb.se/pow/fonder/Kurser/txtfil_hist/19990113.txt,404,,2018-08-02,Hittades inte,Desktop,2018-10-26
https://seb.se/pow/fonder/Kurser/txtfil_hist/,404,,2018-03-28,Hittades inte,Desktop,2018-10-25
https://seb.se/pow/content/pdf/mastercard/blomsterlandet.pdf,404,,2018-09-16,Hittades inte,Desktop,2018-10-27
https://seb.se/kundservice/alla-produkter-och-tjanster/kapitalspar-sparaplacera,410,,2017-04-20,Hittades inte,Desktop,2018-10-15
https://seb.se/privat/pension-och-forsakring/pensionsspara/tjanstepension-och-avtalspension/privatanstalld-tjansteman-itp/itp-val?icmp=sebsep_itpval2018_link_pd2_itpval2018,404,,2018-10-07,Hittades inte,Desktop,2018-10-24
https://seb.se/pow/content/seb_lt/Source_v2/1_naujas_e_parasas.html,404,,2018-10-28,Hittades inte,Desktop,2018-10-28
https://seb.se/pow/apps/bolan/fritidshus.htm,404,,2018-08-07,Hittades inte,Desktop,2018-10-29
https://seb.se/kundservice/alla-produkter-och-tjanster/sebs-mastercard,404,,2018-06-14,Hittades inte,Desktop,2018-10-18
https://seb.se/framtid,404,,2017-01-19,Hittades inte,Desktop,2018-10-11
https://seb.se/privat/spara-och-placera/aktier-och-andra-placeringar/borsintroduktion-attendo-ab,404,,2017-06-20,Hittades inte,Desktop,2018-10-13
https://seb.se/da/privat/spara-och-placera,404,,2017-09-07,Hittades inte,Desktop,2018-10-15
https://seb.se/kundservice/alla-produkter-och-tjanster/fortidsforlangning,404,,2018-07-04,Hittades inte,Desktop,2018-10-18
https://seb.se/privat/pension-och-forsakring/om-avdragsratten,404,,2017-07-23,Hittades inte,Desktop,2018-10-18
https://seb.se/pow/wcp/templates/sebarticle.cfmc.asp?DUID=DUID_FB1C358F7FD1843FC125790C004387A4&xsl=sebarticle.xsl&controlleraction=&lang=se&sitekey=seb.se,404,,2017-09-01,Hittades inte,Desktop,2018-10-31
https://seb.se/privat/spara-och-placera/aktier-och-andra-placeringar/hantering-intressekonflikter/sebse/Hidden-pages/Archive/disclaimer-swedish-and-english,404,,2017-08-02,Hittades inte,Desktop,2018-10-29
https://seb.se/pow/apps/SkapaPortfolj/jmf_portfoljer.asp,404,,2017-10-20,Hittades inte,Desktop,2018-10-27
